# x        y     profile      z
-2.00000    12.12436    0.00976    0.00000
-1.00000    12.12436    -0.00589    0.00000
11.50000    6.06218    -0.00416    0.00000
10.00000    6.92820    -0.00501    0.00000
11.00000    6.92820    0.00259    0.00000
8.50000    7.79423    -0.00370    0.00000
9.50000    7.79423    0.00743    0.00000
7.00000    8.66025    -0.00341    0.00000
8.00000    8.66025    0.01049    0.00000
5.50000    9.52628    -0.00343    0.00000
6.50000    9.52628    0.01283    0.00000
4.00000    10.39230    -0.00362    0.00000
5.00000    10.39230    0.01412    0.00000
2.50000    11.25833    -0.00423    0.00000
3.50000    11.25833    0.01345    0.00000
1.00000    12.12436    -0.00589    0.00000
2.00000    12.12436    0.00976    0.00000
-0.50000    12.99038    0.00162    0.00000
0.50000    12.99038    0.00162    0.00000
